property_url,property_id,address,street_name,apartment,city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,price_per_unit,living_space,land_space,land_space_unit,broker_id,property_type,property_status,year_build,total_num_units,listing_age,RunDate,agency_name,agent_name,agent_phone,is_owned_by_zillow
https://www.zillow.com/homedetails/L5b-Orca-Ct-Coffman-Cove-AK-99918/2067000189_zpid/,2067000189,"L5b Orca Ct, Coffman Cove, AK 99918",b Orca Ct,,Coffman Cove,AK,,,99918,275000.0,2.0,2.0,275.0,1000.0,2.2,acres,,SINGLE_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince Of Wales Island Realty LLC,,,0
https://www.zillow.com/homedetails/609-Fawn-Dr-Coffman-Cove-AK-99918/2066473384_zpid/,2066473384,"609 Fawn Dr, Coffman Cove, AK 99918",Fawn Dr,,Coffman Cove,AK,,,99918,49000.0,,,,,2.83,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/510-Clarence-Strait-Dr-Coffman-Cove-AK-99918/2066473652_zpid/,2066473652,"510 Clarence Strait Dr, Coffman Cove, AK 99918",Clarence Strait Dr,,Coffman Cove,AK,,,99918,69000.0,,,,,2.062,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/601-Fawn-Dr-Coffman-Cove-AK-99918/2066489894_zpid/,2066489894,"601 Fawn Dr, Coffman Cove, AK 99918",Fawn Dr,,Coffman Cove,AK,,,99918,49000.0,,,,,1.31,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/L9a-Red-Snapper-Coffman-Cove-AK-99918/2066489893_zpid/,2066489893,"L9a Red Snapper, Coffman Cove, AK 99918",a Red Snapper,,Coffman Cove,AK,,,99918,49900.0,,,,,0.4777,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/4A-Red-Snapper-Coffman-Cove-AK-99918/2066515491_zpid/,2066515491,"4A Red Snapper, Coffman Cove, AK 99918",Red Snapper,,Coffman Cove,AK,,,99918,45500.0,,,,,0.7278,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/Lots-5-Legal-Address-Only-Coffman-Cove-AK-99918/2066744812_zpid/,2066744812,"Lots 5 Legal Address Only, Coffman Cove, AK 99918",Lots 5 Legal Address Only,,Coffman Cove,AK,,,99918,59000.0,,,,,6.24,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/L7b16-Coho-Dr-Coffman-Cove-AK-99918/2067738773_zpid/,2067738773,"L7b16 Coho Dr, Coffman Cove, AK 99918",b16 Coho Dr,,Coffman Cove,AK,,,99918,249000.0,,,,,1.67,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/L39-Kupreanof-Is-Petersburg-AK-99833/2085192689_zpid/,2085192689,"L39 Kupreanof Is, Petersburg, AK 99833",Kupreanof Is,,Petersburg,AK,,,99833,144000.0,,,,,5.0,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,"Petersburg Properties, LLC",,,0
https://www.zillow.com/homedetails/L8-Beluga-Ln-Coffman-Cove-AK-99918/2067916310_zpid/,2067916310,"L8 Beluga Ln, Coffman Cove, AK 99918",Beluga Ln,,Coffman Cove,AK,,,99918,269000.0,,,,,1.67,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/501-Noseeum-St-Petersburg-AK-99833/243013558_zpid/,243013558,"501 Noseeum St, Petersburg, AK 99833",Noseeum St,,Petersburg,AK,56.80682,-132.9618,99833,165000.0,1.0,1.0,235.0,700.0,0.3528,acres,,SINGLE_FAMILY,PENDING,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/218-Bayview-Coffman-Cove-AK-99918/2067949135_zpid/,2067949135,"218 Bayview, Coffman Cove, AK 99918",Bayview,,Coffman Cove,AK,,,99918,849000.0,4.0,4.0,229.0,3700.0,0.35,acres,,SINGLE_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/10-Crystal-Mountain-Subdivision-Petersburg-AK-99833/2064391782_zpid/,2064391782,"10 Crystal Mountain Subdivision, Petersburg, AK 99833",Crystal Mountain Subdivision,,Petersburg,AK,,,99833,60000.0,,,,,2.59,acres,,LOT,PENDING,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L6b3-Coffman-Cv-Coffman-Cove-AK-99918/2068560657_zpid/,2068560657,"L6b3 Coffman Cv, Coffman Cove, AK 99918",b3 Coffman Cv,,Coffman Cove,AK,,,99918,399000.0,2.0,2.0,285.0,1400.0,1.53,acres,,SINGLE_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/905-Odin-St-Petersburg-AK-99833/243013641_zpid/,243013641,"905 Odin St, Petersburg, AK 99833",Odin St,,Petersburg,AK,56.80623,-132.97113,99833,375000.0,3.0,3.0,226.0,1652.0,8000.0,sqft,,SINGLE_FAMILY,PENDING,,,-1,2022-04-24 07:34:15,"Petersburg Properties, LLC",,,0
https://www.zillow.com/homedetails/L3-Red-Cedar-Ct-Coffman-Cove-AK-99918/2093958193_zpid/,2093958193,"L3 Red Cedar Ct, Coffman Cove, AK 99918",Red Cedar Ct,,Coffman Cove,AK,56.001015,-132.7938,99918,189000.0,,,,,3.42,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/Colt-Is-Juneau-AK-99801/2065658300_zpid/,2065658300,"Colt Is, Juneau, AK 99801",Colt Is,,Juneau,AK,,,99801,1576000.0,,,,,100.2,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/128-S-Frederick-Dr-Petersburg-AK-99833/2065904970_zpid/,2065904970,"128 S Frederick Dr, Petersburg, AK 99833",S Frederick Dr,,Petersburg,AK,56.796387,-132.8551,99833,20000.0,,,,,3.0,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/L5b-Red-Cedar-Ct-Coffman-Cove-AK-99918/2067699303_zpid/,2067699303,"L5b Red Cedar Ct, Coffman Cove, AK 99918",b Red Cedar Ct,,Coffman Cove,AK,,,99918,154500.0,,,,,2.69,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/0-Colt-Is-Juneau-AK-99801/2076490749_zpid/,2076490749,"0 Colt Is, Juneau, AK 99801",Colt Is,,Juneau,AK,,,99801,1576000.0,,,,,100.2,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Beloved Alaska Realty,,,0
https://www.zillow.com/homedetails/337-Keku-Rd-Petersburg-AK-99833/2078168092_zpid/,2078168092,"337 Keku Rd, Petersburg, AK 99833",Keku Rd,,Petersburg,AK,56.967194,-133.9265,99833,220000.0,4.0,3.0,77.0,2845.0,6000.0,sqft,,SINGLE_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/L5b2-4-Point-Dr-Coffman-Cove-AK-99918/2069314768_zpid/,2069314768,"L5b2 4 Point Dr, Coffman Cove, AK 99918",b2 4 Point Dr,,Coffman Cove,AK,,,99918,119000.0,,,,,1.23,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/10192-Kwalx-St-Juneau-AK-99801/325548849_zpid/,325548849,"10192 Kwalx St, Juneau, AK 99801",Kwalx St,,Juneau,AK,58.458855,-134.17915,99801,529900.0,3.0,2.0,324.0,1635.0,4675.0,sqft,,SINGLE_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/704-Mitkof-Hwy-Petersburg-AK-99833/2064114120_zpid/,2064114120,"704 Mitkof Hwy, Petersburg, AK 99833",Mitkof Hwy,,Petersburg,AK,56.724983,-132.93016,99833,180000.0,,,,,1.19,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,"Petersburg Properties, LLC",,,0
https://www.zillow.com/homedetails/10198-Guwakaan-St-Juneau-AK-99801/325548846_zpid/,325548846,"10198 Guwakaan St, Juneau, AK 99801",Guwakaan St,,Juneau,AK,58.458855,-134.17915,99801,599900.0,4.0,3.0,297.0,2016.0,5538.0,sqft,,SINGLE_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/708-Mitkof-Hwy-Petersburg-AK-99833/2064114121_zpid/,2064114121,"708 Mitkof Hwy, Petersburg, AK 99833",Mitkof Hwy,,Petersburg,AK,56.724358,-132.92993,99833,190000.0,,,,,1.615,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,"Petersburg Properties, LLC",,,0
https://www.zillow.com/homedetails/Nhn-Vista-Dr-Juneau-AK-99801/2066967673_zpid/,2066967673,"Nhn Vista Dr, Juneau, AK 99801",Nhn Vista Dr,,Juneau,AK,,,99801,699900.0,,,,,27.88,acres,,MULTI_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/1411-E-Hamilton-Dr-0-Craig-AK-99921/2064200553_zpid/,2064200553,"1411 E Hamilton Dr #0, Craig, AK 99921",E Hamilton Dr #0,,Craig,AK,,,99921,745000.0,2.0,2.0,582.0,1280.0,0.5863,acres,,SINGLE_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,Prince of Wales Realty,,,0
https://www.zillow.com/homedetails/740-Mitkof-Hwy-Petersburg-AK-99833/243014277_zpid/,243014277,"740 Mitkof Hwy, Petersburg, AK 99833",Mitkof Hwy,,Petersburg,AK,56.71966,-132.92967,99833,250000.0,,,,,4.13,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/Nhn-National-Park-Service-Rd-Juneau-AK-99801/2067526985_zpid/,2067526985,"Nhn National Park Service Rd, Juneau, AK 99801",Nhn National Park Service Rd,,Juneau,AK,,,99801,179000.0,,,,,0.42,acres,,MULTI_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/1401-Sunnyside-Dr-Craig-AK-99921/2102060782_zpid/,2102060782,"1401 Sunnyside Dr, Craig, AK 99921",Sunnyside Dr,,Craig,AK,,,99921,695000.0,7.0,4.0,217.0,3200.0,0.26,acres,,SINGLE_FAMILY,PENDING,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/L16-17-Wrangell-Ave-Petersburg-AK-99833/2067492606_zpid/,2067492606,"L16 & 17 Wrangell Ave, Petersburg, AK 99833",& 17 Wrangell Ave,,Petersburg,AK,56.81621,-132.95499,99833,98500.0,,,,,5.3,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Anchor Properties,,,0
https://www.zillow.com/homedetails/Nhn-Threadneedle-St-Juneau-AK-99801/2073257999_zpid/,2073257999,"Nhn Threadneedle St, Juneau, AK 99801",Nhn Threadneedle St,,Juneau,AK,,,99801,159000.0,,,,,0.3,acres,,MULTI_FAMILY,FOR_SALE,,,-1,2022-04-24 07:34:15,,,,0
https://www.zillow.com/homedetails/4-7-Mile-Port-St-Craig-AK-99921/2065529645_zpid/,2065529645,"4.7 Mile Port St, Craig, AK 99921",7 Mile Port St,,Craig,AK,,,99921,350000.0,,,,,1.09,acres,,LOT,FOR_SALE,,,-1,2022-04-24 07:34:15,Coastal Keller Williams Realty Alaska Group,,,0
